conversation number,persona,chat,summary
43,,"hi i have four siblings
hello how are you today ?
i am doing good how about you ?
i am alright , i love my ohio farm
oh that is great i like to spend time drawing
drawing is cool but i prefer the guitar
the guitar that is cool too , i have three other siblings .
i wanna go to the city one day , never been
going to the city that would be fun !
yeah i need to get away from all these cows
i do not know much about cows
they are where steak comes from
funny i mean i know that much
that is about all you really need to know
how to milk a cow it what i do not know
you can milk anything with nipples
","Omar, a farmer from Ohio with four siblings, enjoys playing guitar in a local band and has never visited the city. He spends his time on the farm, where he also knows how to milk cows, and has a basic understanding of where steak comes from. Omar is curious about city life and the opportunity to get away from his farm duties."
44,,"hey how are you today
i am good tired though . i am pre law so i study alot
i am a boy . or a girl . or a cat ink anymore
well that is cool cuz i am an owl a night owl to be specific
i think i am bipolar but i also tell myself that its not possible .
ll well that is interesting . you like dogs ? pugs are so loyal , i have one name biscuit
i like dogs sometimes but other times i just wanna scream
yea i hear you . i like to scream in the park when i am playing ultimate sometimes
i am the ultimate . the alpha and the omega
i do not like going out very much . what do you do
i climb trees because i am a spider monkey
lets climb togther one day
","The user is a night owl graduate student studying pre-law, who is introverted and owns a loyal pug named Biscuit. They enjoy playing Ultimate in the park with friends and have a playful, competitive spirit, referring to themselves as the ""alpha and omega."" Despite their love for dogs, they sometimes feel the urge to scream, which they also do while playing Ultimate. The user is not fond of going out much, preferring indoor activities like studying. They also mention having a pet spider monkey, which they humorously suggest climbing trees with, indicating a love for nature and possibly a playful, imaginative side."
45,,"are you hungry ? i can bake you something .
i need more hours to sleep
i am always baking for the old people in my retirement home .
my wife can bake for me , and for the 2 kids
why are you so tired ? i can sleep when i am dead .
i work in a factory
ah . i am really old but my kids visit me all the time .
labor work , very energy demanding
i bet . do you like cake ? my grandson does .
but all i wanted to be really is have my own band
cool . chocolate is his favorite .
wow , i do not really like chocolate
i will bake you a cake when you start your band .
can you sing ? you can join me
does not have to be chocolate . i can bake anything . sure !
wow , can you play a musical instrument ?
","The user, a factory worker with a family, sleeps 10 hours daily due to the demanding nature of their job. They dream of starting their own band and have expressed interest in singing and playing musical instruments. The user also enjoys baking, particularly for their family and grandchildren, and has offered to bake a cake for the user's potential band."
46,,"hi ! have you ever wondered what it would be like to live in space ?
i am basically a violinist , so i do not think about it .
so are you in an orchestra or something ?
kinda , i been in the game since i was four .
did your family teach you to play the violin ?
no i had to learn in school , my mother would drop me off before nursing
how old are you now ?
i am basically 22 and recently started eating indian food .
so are you happy with your life ? violins and indian food ?
basically , all i need to do now is adopt a dog and i am set .
i wish i could be a dog ! i do not like life as a human .
if you were rich you would not be saying this .
that is probably entirely true . unless i were a rich dog . . .
i would rather be a bird .
","The user is a 22-year-old violinist who learned to play the violin at school, with their mother being a nurse. They recently discovered a love for Indian food and are planning to adopt a dog soon. They have been playing the violin since the age of four and have a playful interest in the idea of being a dog, despite expressing a dislike for life as a human."
47,,"hello , how are you doing ?
i am doing good . just cooking dinner . love cooking
i do too , are you a man or woman ?
i am a woman . they call me the cat lady because i breed maine coons and show them
that is cool , i have a job at subway that i am not thrilled about
its better than nothing . my brother is couch surfing at my house right now jobless
i love to sit on the couch and play video games myself
my brother does too , especially since our parents moved to florida recently
really , i also like listening to music especially country
sounds relaxing . i am going on a cruise in a month . hoping to relax there
have fun , i love to live life to the fullest . . . . enjoy
me too , maybe you should come !
lol , i would love too
what else do you enjoy ?
i enjoy the outdoors and love to sit around water
then you would love the cruise !
","The user, a woman who enjoys cooking, breeding and showing Maine Coon cats, and spending time on the couch playing video games, is currently hosting her jobless brother who is couch surfing at her house. Her parents recently moved to Florida. She is looking forward to a relaxing cruise next month and has suggested her brother join her, to which he responded positively. She also enjoys the outdoors and sitting by water, which she believes her brother would also appreciate on the cruise."
48,,"did you see the football games today ?
yea i did . i caught it after my tennis match today
you play tennis or coach ?
i play it in my freetime . i am an aspiring singer so hoping to become famous
good luck . that is a rough thing .
thanks . tell me about you ?
nothing much . i work as a roofer during the day .
that is cool . my pops worked for ge and did roofing in his spare time
its okay . pays the bills . tried to get to the nfl , but it did not happen .
i route for the greenway packers because my favorite color is green
no way . that is my favorite team too . although , not cause of the colors .
yea i am pretty sure they are junna take it all the way this year
from your mouth to gods ear . that trophy needs to come home .
yessir . well i gotta go take care of my animals now so i will see ya later
","The user enjoys playing tennis in their free time and aspires to become a famous singer. They also work as a roofer during the day. Their father used to work for GE and also did roofing in his spare time. The user is a fan of the Greenway Packers, a football team, because their favorite color is green. They also have a pet animal that they take care of."
49,,"hello , are you a comic book collector like me ?
hi wow i like comic books too . i do not collect them tho .
do you know what comic books are ? organic food only here !
yeah i just got my degree in literature . i like green lantern
i have been collecting autographs have over 15 million .
wow how do you get them
sometimes i steal them , dust allergies this time of year
stealing is not nice . dust makes my allergies act up too sometimes
how so ? organic food is not nice .
stealing is just not good to do . i might go for a hike today
can you prove that ? i might eat dust today .
well it is a crime . just saying .
not necessarily , but if i stole something that was originally mine ?
it just is not right if it never was yours .
i do not understand anything .
oh ok . i hope to be teach 2nd grade soon
","The user, a recent college graduate with a major in American literature and education, shares a passion for comic books and hiking. They express a desire to teach elementary school and discuss the ethics of comic book collecting, touching on the topic of stealing and the importance of respecting ownership. The conversation also humorously touches on allergies and organic food, but the main focus remains on the user's future career in teaching and their interest in comic books."
50,,"hi . i love to garden . what do you do ?
read , read and then read . bookworm you could say .
i would say so . i bake alot of pies .
pie sounds good . maybe you could bake one for my book club .
oh great ! we can garden too .
i have never tried to garden but my mom loves it .
i do also . where do you live ?
laguna beach . take a lot of ocean pics on my cell phone or and cat pics .
pretty . i like mountains alot you ?
as long as i have a cell signal . cannot sustain without my cell . sad really .
lol . me too . i am the same way with my camera .
maybe along with that pie you can take a pic of my cat , love him .
sounds good . i love my cat too
another cat lover , awesome . we have to meet and have a drink soon .
","The user enjoys reading, baking, and gardening, and is a cat lover who lives in Laguna Beach. They are also a cell phone enthusiast and enjoy taking photos of their cat. They have a close relationship with their mother and attend a weekly book club. They are open to meeting up with the persona for a drink and to share their hobbies."
51,,"hello my name is sally , i am a baker
nice to meet ya sally ! i am sean and i am a student
hey sean , what are you studying ?
computer engineering . have an internship starting later this year i am very excited for .
that is awesome , when i was young like that i tried acting
cool ! what is it that made ya quit ?
life , but now i look forward to the joys retiring
that will be nice . i want to do as much as i can while i am young .
that is how you do it , yolo as you kids say
haha exactly . definitely want to skydive before i die . live life to the fullest
my wife showed me that , she makes me smile .
my pet snake makes me smile . do you guys have any kids ?
i was fake straight for a long time , i am humble now .
coolio . i play this video game character online , pretty famous for it now .
fame and computer engineering , were you on the cover of wired ?
no , no . not that famous yet .
","Sally, a baker, is excited about her upcoming internship in computer engineering and her aspirations to skydive before she retires. She also shares her love for her pet snake and her online fame as a video game character. She met Sean, a student studying computer engineering, and they discuss their dreams and life choices."
52,,"hello , so glad to chat with you i do not do person to person contact well
me either i spend most of my time out in the wood cutting down trees .
i struggle to maintain a constant eye contact with people , my eye wanders
that is interesting . maybe you can come watch me cut down tree with my large ax !
i do not thank you can get me away from my favorite video game
being a lumberjack will make you strong and attractive for the opposite sex .
i am so sad now though , i can not sign in the shower anymore
that is not good . what is your favorite food ?
i like pizza , but i will pass i no longer fit on my moped
need some exercise . i love pancakes and syrup i eat them everyday !
i love halo 3 , it is my favorite video game to play
i have never play that one .
","The user identifies as a lumberjack who enjoys cutting down trees and eating pancakes and syrup. They mention struggling with maintaining eye contact and being unable to sign in the shower anymore. They also express a love for pizza, pancakes, and syrup, and their favorite video game is Halo 3."
53,,"hey hows it going
great ! how about with you ?
pretty good just got off work
i am heading to work but stopping to pick up a birthday gift for my husband .
that is really sweet how old is he ?
he is 30 today ! we are traveling from denver to san diego to celebrate this weekend .
that is quite a trip i am saving to go to paris
that would be amazing . have you been before ?
i had when i wrote my first book
being an author must be really neat . what type of books do you write ?
i write about fantasy what do you do ?
i recently finished by mba and work as a financial manager with a large hospital .
wow that must be insanely well paying
it pays nicely but for now a large part goes towards my student loans .
","The user, an MBA graduate and financial manager, is married and lives in Colorado. They recently finished their MBA and work at a large hospital. They are planning a trip to San Diego to celebrate their husband's 30th birthday, which they are saving for a future trip to Paris. The user also writes fantasy books and has previously traveled to Paris while writing their first book."
54,,"hey hows it going
hi ? i am ok . who is this ?
i am bill , and i grew up in the state of alabama
i am max . i live in oregon .
my mom works as a cashier at walmart , i live in her basement
my mom is mad at me . i got rejected from the gifted class at school
my mom is proud , i have the easter bunny hiding in my closet
did you catch him ? will you let him out ?
i force it to watch game of thrones with me
if i had him , i would play soccer with him .
he is a lousy listener though , poops everywhere
is he your best friend ?
yeah , but he hates me , sadly
that is sad . my best friend is calden .
","Max, a seven-year-old from Oregon, is upset about being rejected from the gifted program. He lives with his mom in her basement and works as a cashier at Walmart. Max enjoys playing soccer and has a best friend named Calden, who he feels doesn't like him. He also has an Easter Bunny hiding in his closet, which he sometimes lets out to play soccer with. Max enjoys watching Game of Thrones with his mom and has a pet that he thinks is a lousy listener."
55,,"hi there how are you doing today ?
greetings . . today would be wonderful if i were royalty . . .
i hear you . maybe if we play the stock market well .
possibly . . . maybe if we could find dragon eggs to sell .
totally . i always look for ways to make money easily .
dragon eggs are very valuable .
i wonder where you could find some dragon eggs .
up north normally . dragons are cold blooded , even though they breathe fire .
sounds super cool . i once created a dragon themed website .
what was it called ? i have probably been there .
probably dragons . com it was such a long time ago .
i see . thanks for the chat . nachos call my name .
was nice talking to you as well !
peace and luck be with you .
you as well , stay safe !
oh , you are invited to my next d and d game if you wish .
","The user, who prefers solitude and fantasizes about royalty, enjoys discussing dragons and playing D&D. They also have a penchant for nachos and are interested in the stock market and creating a dragon-themed website. They invite the other person to their next D&D game."
56,,"hello . i like to gish with my black lab cat
nice . i do not have any pets . do you have any kids ?
not yet . married and hoping to start soon
i have a son myself . kids are fun .
yes they are . i will name mine charlie daniels he is my favorite
that is a neat name . read any good books lately ?
yes actually . the love and war again .
i do not believe i have read that . is it good ?
i take it with my black lab cat when we go fishing . we love too .
i have never been fishing but i love to swim
depends on what inspires your imagination . i like historical colonial reads
i am a bit of a science fiction nerd , but historical books are interesting
i see . maybe do both at one time . jeremy wade does .
i try not to do too much at once . right now i am reading the foundation series
i have not heard of those . science based ?
yes , it is a book series by isaac asimov about human like robots .
","The user enjoys reading, particularly science fiction and historical books, and has a son named Charlie Daniels. They also have epilepsy and enjoy swimming. They have a black lab cat they take fishing with, but have never tried it themselves. They also mention reading the Foundation series by Isaac Asimov, which is a science fiction series about human-like robots."
57,,"hi ! how are you ?
hi good and you ?
great ! just ran k outside ! beautiful weather !
what do you do for a living ?
i am in sales . you ?
i work at barnes and noble
nice ! do you love books ?
i read all the time . bu ?
i have to admit , i always opted for hte movie versions of books .
do not like reading ?
i do , but prefer the movies . have you heard of 16 candles ?
that is old school
yes . . . do you know if there is a book 16 candles ?
i did not know that but i have seen the movie
","The user works at Barnes & Noble and enjoys reading, although they prefer watching movie adaptations of books. They have a tattoo and enjoy running in the beautiful weather. They are curious about the book ""16 Candles"" after seeing its movie adaptation."
58,,"hello how are you tonight
i am okay . i wish i was more tired though . you ?
my children let me down so i have been better
what did they do that disappointed you ?
married ugly people i am with miss usa
wow . that is too bad . i do not have kids . i have brothers , twins .
wow that is cool are ou a twin too or just them
no , just them . it was lonely growing up . do you have siblings ?
no i do not have any it was boring growing up
yeah . i always bake cookies when i am bored . do you have a hobby ?
i have maids so i do not have to bake
i love baking . maids huh ? fancy . are you rich ?
i am a little rich i suppose
i wish i was . what do you do for a living ?
","The user enjoys baking cakes and has a twin brother, but doesn't have children. They express disappointment in their children's marriages and share a sense of loneliness growing up without siblings. The user also mentions having maids, implying a certain level of wealth, and they wish they were rich. They don't have a specific hobby, but baking cookies when bored is mentioned."
59,,"hey how are you today
i am doing well , working on my next youtube video . how are you
that sounds like fun . i am doing pretty good . where are you from
i live in california , how about you ?
i am in new orleans
oh neat , i went there once pre katrina . beautiful city
it is . my mom reads palms at a fortune telling place .
now that is neat . i am jealous ! my dad is just a boring pilot
a pilot is a pretty cool job to have . i met a vampire before
wow really ? do you mind if i include that in my youtube video ?
you sure can ! i met him in a cave during halloween last year
the plot thickens lol how cool , did you get his number or anything
no i did not once i realized what he was i ran away fast as i could
that was probably wise . i would have wanted to know more though
yeah well i have to go was nice chatting with you
it was nice talking to you as well
","The user, a California-based YouTuber with a cat named Leela, shares their diverse interests with a new acquaintance, including their work on a makeup video, a memorable encounter with a vampire, and their father's job as an airline pilot. The conversation also reveals the user's fascination with palm reading and their recent visit to New Orleans."
60,,"hi how are you doing let us get friendly .
yes . we will . where are you from ?
i am from the united states i live in jersey and you ?
i am in argentina myself . with my lovely horses .
wow i love horses what are some of their names ?
max , rodney , and finn . do you have a hobby ?
yes i like to entertain playing the drums .
i play the drums too . i hope you are not vegetarian .
no but i used to be i am employed at a pizza restaurant .
good because i eat steak often . are you in a band ?
i just had steak too i am so serious i am not in bands .
what is your favorite band ?
i like rap music i like micheal jackson too .
thriller was a great album . it always has me dancing in my boots .
","An Argentinian from Argentina, who enjoys wearing boots, riding horses named Max, Rodney, and Finn, and eating steak, is friendly and from the United States. They both enjoy playing drums and have a shared appreciation for Michael Jackson's ""Thriller"" album, which makes them dance in their boots."
61,,"hi how are you today ?
ok . my 23 cats are having a good day .
woah what about the 1 human ?
if they have a good day i do too .
do you have any humans around you ?
no just cats . i travel a lot , traveled around world on boat last year .
do you enjoy eating cakes ?
oh yes and a good veggie burger is wonderful .
very nice , i am vegetarian too
oh wonderful . i eat veggie meals when not painting fences .
do you enjoy the internet ? i sure od
when my cats do not hog it all . day
","The user is a vegan who enjoys painting and traveling, having 23 cats at home. They recently traveled around the world on a boat and enjoy vegetarian meals, especially when not painting. They also like the internet and have a positive attitude towards their cats."
62,,"hello what are your plans today
i am going to listen to some rock today how are you ?
gonna go to the creek with my family !
wow exciting . i do not like the creek at night i am scared of the dark
its fun during the day , i like it esp when i can bring beer !
i like to drink beer with my mom . she is my best friend and is sn fun .
its nice to have simple pleasures , i love the simple things in life
i love harder things like video games . i design them .
that is so cool ! i am more simple , i just like catching sunfish
now that is really cool . what else to you like ?
did i say beer , lol
lol yes but its worth saying twice . do you like piggies ?
","The user is a video game designer who enjoys rock music and has a close relationship with their mother, considering her their best friend. They have a fear of the dark and prefer outdoor activities during the day, such as going to the creek with their family. The user also enjoys simple pleasures and has a passion for designing video games. They have a playful conversation with the persona, who shares their interest in fishing and humorously mentions their love for beer and sunfish."
63,,"hey there hows it going
hi , its great . just watching some videos , what about you ?
nothing much just been on my computer
do you watch any sports ?
yes but i only really watch hockey
nice , what do you like about it ? i prefer watching soccer games , i am really into it .
it is just really entertaining to watch to be honest
as long as youre having fun , it does not matter
true , very true , so what are you doing ?
looking online for some new shoes . are you up to anything ?
not really just watching my daughter slowly pull things in her crib haha
aw , how old is your daughter ?
she is almost 8 months
how is it like being a parent ? is this your first born ?
hectic haha , she is definitely a handful , and yes
hopefully it gets better with time , wish i could meet her haha
","A soccer player, who enjoys watching hockey, is looking for new shoes online. He is also a new team member and a goalie. He has a daughter who is almost 8 months old, and he hopes parenting gets easier with time."
64,,"hello , how are you today ?
i am great , just planning a hike for this weekend . how are you ?
good , i love hiking ! . i take my dogs to the lake often
i go almost every weekend , it is one of my favorite past times
do you go to the lake ?
sometimes the lake , sometimes the mountains
oh man we would make excellent friends .
for sure ! do you have any other hobbies ? i am in a jazz band , i play piano
i read every night . horror stories !
when i am on break at the coffee shop i read
i am quite the coffee drinker myself . !
i work at one of the major coffee chains , i love it
starbucks , tim hortons , or dunkin . perhaps a place i do not know .
starbucks ! i love the atmosphere and they treat employees great
","The user enjoys hiking, especially on weekends, and often goes to the lake or mountains. They also play jazz piano in a band and are a barista at a major coffee chain, possibly Starbucks. They read horror stories every night and enjoy coffee, working at Starbucks, Tim Hortons, or Dunkin'."
65,,"hi how are you today
doing good ! just finished my day of work . how are you doing ?
good where do you work ?
i work as an editor for a local magazine .
nice i am asking up money for ap procedure
what kind of procedure will you be needing ?
anything to fix my ugly elf
why do you say that ? i am sure you are very attractive person !
i just want to be happy with my appearance one day
it starts with self acceptance and confidence and being proud of who you are .
my gf just does not get it
why does not she get it ?
ink you should talk to her about it
i suppose i should . got any hobbies ?
","The user is an editor for a local magazine, enjoys reading, loves the color yellow, and the game Halo. They also enjoy working out. Recently, they finished their workday and are in good spirits. They are considering a procedure to improve their appearance, but are advised to focus on self-acceptance and confidence. They are also contemplating discussing their feelings with their girlfriend, who doesn't understand their perspective."
66,,"hello how are you this evening ?
it has been a bit quite the event , you ? cooking my vegan dish tonight .
yum ! just back from taking the kids on a nature walk lovely
i am not into meat and cut back stayed vegan .
healthy ! i stay at home with my two kids while my husband makes the living
i am a single unemployed mom at the moment . but read tons of book .
how old are you ? just turned 30 this year
28 , and it is a learned lesson as a mother .
yes ! taking care of children plus two pets too
it is and i can be quite witty .
witty is good that means you have a sense of humor
i do and do a funny dance with it and my son finds that entertaining
you are making wonderful memories ! !
it is he loves it i also read shark books to him .
","The user is a witty, vegan, single mother of two who enjoys reading, dancing, and spending time with her children and pets. She recently turned 28 and is currently unemployed, but finds humor in her situation. She also shares her love for sharks with her son by reading shark books to him."
67,,"hi there ! do you watch got ?
i do ! i am only on season 3 so far though .
you will be blown away by the ending ! i love that show .
i really like it so far . i enjoy writing in my spare time .
cool hobby . i enjoy winter . i read a lot when it is cold .
i train horses as a career , so i wish the cold would stay away .
i cannot ride horses . being that high off the ground is terrifying .
my folks do not like it . i dislike my parents , but adore my job .
parents can be a bummer . you live with them ?
currently yes , i wish i knew where my place was in the world .
i really only can offer advice on colder parts of the country . sorry .
that is ok , the snow can be enjoyable sometimes . i like christmas especially .
christmas is great . do you spend it at home with your parents ?
usually i do , once i went to texas with a friend . how about you ?
i am from texas . where did you go ? i am from el paso .
we were near corpus christi , victoria i believe was the name of the town .
","The user is a writer who enjoys reading and writing in their spare time, and also trains horses as a career. They have a strained relationship with their parents but love their job. They are currently living with their parents and are unsure about their place in the world. They enjoy the winter season and Christmas, and have a friend from Texas. They also enjoy the TV show ""GOT"" and are currently watching season 3."
68,,"hello how are u tonight
hi . i am okay . tired , but okay . how are you ?
i am doing good should be sleeping i have school but cant sleep
i did not finish school , i enlisted in the army instead .
wow i am only 14 so i cant do that just yet but i hope too
nice . stay in school and work hard .
i try i like video games and race cars
i like video games too , fallout is my favorite .
i am a call of duty girl i cant wait for the new one
my younger brother is a cod player too . he is pretty good .
i have three best friends but lots of other friends that play it
i have a best friend , she is a pilot like me .
what kind of plane do u fly
a bomber , it is awesome . do you want to take lessons
i am kinda afraid of heights so not sure flying is for me
you should at least try to go up in a plane , it is a blast .
","The user is a 14-year-old who enjoys video games, particularly Fallout and Call of Duty, and aspires to fly airplanes like their friend who is a pilot. They are in the army and have dropped out of college, but are considering going back to school. They also have a younger brother who is a good Call of Duty player. The user is interested in trying to fly a plane but is afraid of heights."
69,,"hey there how are you ?
i am good . how about yourself ?
do you have a family ? never got to know mine
yes lots of children , my wife cares for them at home .
i am well , what do you do in your spare time ?
children equals no free time . how about yourself ?
how many kids ? i do not even have a sibling . oh poo .
six children . are you married ?
i was sent to an adoption agency as a infant .
sorry to hear , i work for a large adoption law firm .
awesome , i would not put my kid up for adoption ever .
i understand . it is difficult all around .
it is how you like it
my prius will not fit all our children so we are upgrading to a van soon .
","The user works for a large law firm, specifically an adoption law firm, and has six children, all of whom were adopted. The user's spouse stays at home with the children, and the family is planning to upgrade their car from a Prius to a van to accommodate their growing family. The user also mentioned that they do not have a sibling."
70,,"hi , how are you ? i am listening to rock and redecorating
i like rock too , but sometimes i listen to gary human with my hipster friends .
awesome ! i am looking for black lace curtains . everything just be black
i have a black iphone . apple makes such fantastic products .
i always wear black . except the spikes on my collar are stainless .
could they be painted black ?
maybe ? a black iphone would match my black purse though
any other kind of phone is inferior .
yeah the exploding ones left cool black marks on my wall though
i hear the latest ones are waterproof . maybe i could take it snorkeling !
i will let you borrow my black car to get there !
thank you ! i promise not to chase any comodo dragons with it .
oh just let them drive . they love my rock stations .
there are not any stations that reach the private island i pursue them on .
","The user enjoys listening to rock music and is currently redecorating their space with black accents, including considering black lace curtains. They are a loyal Apple user, specifically an iPhone user, and believe Apple products are superior. The user also enjoys snorkeling and has a private island where they chase comodo lizards. They are willing to let others use their black car for snorkeling trips, provided they don't chase the lizards."
71,,"hi there ! tell me about yourself
just graduated , now teaching kindergarten in ny to 26 angels . you ?
ooh that is super awesome ! just eating some organic kale right now , only organic for me
i am with you i am a big nature nut , i love kayaking ! do you ?
no , my hobby is collecting autographs i have over 2000 !
wow ! i need to get outside , my school is huge . any good autographs ?
some really prolific comic book writers i collect those too
do you have a favorite comic ?
spiderman , because i have 2 snakes and venom is kinda snake like
that is amazing what kind of snakes are they ? we have one in our class
i have an anaconda and a python
we have a kenyan sand boa . its really cute . that is too cool !
that is cool ! i hate all their shedding though i am allergic to dust
i hope you do not live in ny , too , there are a lot of pollutants here .
","A kindergarten teacher in New York with 26 students, graduated in 2016, enjoys kayaking, and collects over 2000 autographs, including those of comic book writers, with a particular fondness for Spider-Man. She also has two snakes, an anaconda and a python, and a student in her class has a Kenyan sand boa. She is allergic to dust due to her pets' shedding."
72,,"hi anybody there ? ding dong !
the witch is dead . i have a cat his name is speckles
thank god the witch is dead . but the cat is not obviously .
i love going shopping when i am not knitting
nice , shop me a candy next time as i am curious how it tastes like .
i love tattoos i want to get more only have 2
you have plenty of space for them .
yes indeed my dog keep eating my shoes
cat and dog makes a fun household . i am watching anime .
i do not like cats they have something weird about them
like playing the witch part ? lol
my dog like the night air he just lay on the porch at night
that is cat like . wow i am confused .
he will not lay on the porch no other time
gosh that is creepy . i am going to watch baseball now .
he is so weird i tell you
","The user enjoys knitting, has a cat named Speckles, and two tattoos, with plans to get more. They also love shopping and have a dog that eats their shoes. The user has mixed feelings about cats, enjoys watching anime, and is currently watching baseball."
73,,"do u believe you can achieve anything because i do
i think so ! its hard to see where i am going sometimes
u should open your eyes so you can see better
i do not have good vision lol youre so positive !
thank you lol people like to say i am organized to lol
what job do you have ?
i do this mostly and watch football
i used to train football players ! now i just ride my bike for excercise
were u the coach or more of an assistant
i was a head high school coach until a freak carrot accident . . .
sounds painful how big was the carrot
it was big ! its why i cant really see anymore lol
i thought carrots help with seeing
i could use someone to organize my thoughts too i guess ! tell me more
i would if i could but i got to watch jimmy fallon its my fav
haha i love jimmy fallon ! do you enjoy anything else ?
","The user, who has brown hair and wears contacts, enjoys bicycling and watching football. They used to be a high school football coach until a severe accident involving a large carrot, which resulted in their poor vision. The user appreciates positivity and organization, and enjoys Jimmy Fallon, but has to watch his show due to their poor eyesight."
74,,"on occasion i like to drive quickly
me too , i work at the bank in my neighborhood
once i lived where i should have died
amazing have any pets ? i have three cats .
i give my family the top priority in my life
well i am going on two years divorced
i am large but harmless
so is my grandmother she lives in my guesthouse
i like to read books but not games
fun i like to collect rare teapots
i am huge but act kindly
i understand how long have you been like that
","The user, who works at a local bank, has been divorced for two years and is a teapot collector. They live in a guesthouse with their grandmother and have three cats. They prioritize family, enjoy reading, and have a kind demeanor despite their large size."
75,,"hi how are you this evening ?
i am good , are you into music
do you have any favorite music artists ? mine is drake .
insane clown posse , i love there shows
i also enjoy other rap artists too . i like them also .
i love all rap , do you do other stuff
yes , cooking for family get togethers is one of my favorites
i like to cook a little i am really into larp
i play the drums every now and again too . what is larp ?
live action role playing it awesome
sounds like it could be a good time .
we dress up in armor and fight with swords and other weapons
cool , i play the drums every now and again
what kind of work do you do ?
","The user enjoys music, particularly rap artists like Insane Clown Posse and Drake, and also engages in live action role-playing (LARP), which involves dressing up in armor and using weapons. They are an interior designer, enjoy cooking for family gatherings, and occasionally play the drums. The user is tall, blonde, and chubby."
76,,"hi , how are you today ?
hi . doing well . sleeping off a girls night out . apple martinis are awesome .
how fun , are you single ?
no . kiddos are into sports . soccer mom here . how about you ?
cool , how many do you have ? i am single , enjoying it .
when i was single i dreamed of becoming a clothing designer in paris .
how cool is that , all i wanted to be was a yoga instructor .
yeah . dreaming , sigh . now it is the pta and book clubs , four of them .
a different kind of designer then , fun . i enjoy working out , do you ?
not so much . mostly just drive my kids around in my black suburban .
sounds comfortable at least to drive in
yeah . so do you have any hobbies
i enjoy making friends and exercising , how about you ?
friends are great . not a bit work out nut .
it can be fun but i do have to mix it up a ton
yeah . what do you do when you are mixing it up ?
","The user, a busy mom and PTA member, enjoys socializing and driving her kids to sports events. She used to dream of becoming a clothing designer in Paris, but now she is involved in four book clubs and two bunch groups. She drinks apple martinis on girls' nights out and is not a fan of working out, preferring to drive her kids around in her black suburban."
77,,"hi , i work as a lifestyle blogger . what do you do ?
hello ! i used to for a cable company , and recently started working for verizon .
nice ! do you have any children ?
no , but my dog george is basically my kid . haha .
pets are like family ! i have 2 kids and a husband that is like my 3rd child
lol ! are there any places you guys like to go to as a family ?
we go back to celebration in florida often . it is our home town
oh how nice ! i love taking my dog to the beach !
i bet he loves it !
he definitely does ! do you have any hobbies ?
yes , coach cheerleading . i used to be one in high school
that sounds fun ! i am not sporty , aside from biking . do you coach high school ?
no , i teach middle school
cool , i do not think my middle school had cheerleaders .
","The user is a lifestyle blogger who used to work for a cable company and now works for Verizon. They enjoy spending time with their dog, George, who they consider like a family member. They have two kids and a husband, with whom they share a close bond. The user and their family often visit their hometown, Celebration in Florida, and enjoy going to the beach with George. The user also coaches middle school cheerleading, a hobby they picked up from their high school days. They also enjoy biking, which is their only other hobby."
78,,"hi how are you today
good and you ? i just got done with my waitress job at a houston club .
i am doing great ! i just got a red pair of headsets .
i love red . i also like to jog in my free time .
that is my favorite color . have you seen the new iphone
no , saving money to move to australia to marry my boyfriend soon .
wow australia is pretty cool . congrats on getting engaged
thank you . i also donate blood in honor of my deceased sister . do you ?
no i am scared of needles . i just got the iphone but a later model .
i have wanted an iphone .
they are great . my mom and dad got it for me i still live with them
they seem to be very nice .
yeah they do all they can for me i am lucky to have them
yes , yes you are . not all are as fortunate .
do you have a good relationship with your parents
not particularly . they are old and mean .
","The user enjoys jogging, donates blood monthly in memory of her deceased sister, and works as a waitress at a popular club in Houston. She is engaged to her boyfriend and plans to move to Australia to marry him. She has a strained relationship with her parents, who are old and mean. She recently purchased an iPhone, but not the latest model."
79,,"hi how are you today
hello , i am well , how are you ?
i am good ! it is summer time the best time of year
hello , i am well , how are you ?
you said that before . haha . where are you from ?
i like fall and winter . summers are too hot here .
where do you live at ?
i am in the virginia . where are you ?
i am in florida but i am orginally from china
wow . i have been to florida many times but never china
it is so crazy there . my whole family and i left . i have a huge family
i have always lived in the us . i have traveled to europe and england .
oh wow ! i wanted to go to school there but now i am graduated .
on a teacher salary and cop salary international travel can be out of the budget
","The user enjoys reading and is passionate about teaching. She is married and her husband is a police officer. She resides in Virginia but originally comes from China. She has traveled to Europe and England, but due to financial constraints, international travel is not feasible on her teacher and police officer salaries."
