conversation number,persona,chat,summary
46,,"hi ! have you ever wondered what it would be like to live in space ?
i am basically a violinist , so i do not think about it .
so are you in an orchestra or something ?
kinda , i been in the game since i was four .
did your family teach you to play the violin ?
no i had to learn in school , my mother would drop me off before nursing
how old are you now ?
i am basically 22 and recently started eating indian food .
so are you happy with your life ? violins and indian food ?
basically , all i need to do now is adopt a dog and i am set .
i wish i could be a dog ! i do not like life as a human .
if you were rich you would not be saying this .
that is probably entirely true . unless i were a rich dog . . .
i would rather be a bird .
","The user, a 22-year-old violinist who has been playing since the age of 4, recently discovered a newfound love for Indian food and plans to adopt a dog soon. They also mentioned that their mother was a nurse. The user expressed a desire to live in space but stated that as a violinist, they do not often think about it. They also expressed a wish to be a dog or a bird, but acknowledged that wealth would likely change their perspective."
47,,"hello , how are you doing ?
i am doing good . just cooking dinner . love cooking
i do too , are you a man or woman ?
i am a woman . they call me the cat lady because i breed maine coons and show them
that is cool , i have a job at subway that i am not thrilled about
its better than nothing . my brother is couch surfing at my house right now jobless
i love to sit on the couch and play video games myself
my brother does too , especially since our parents moved to florida recently
really , i also like listening to music especially country
sounds relaxing . i am going on a cruise in a month . hoping to relax there
have fun , i love to live life to the fullest . . . . enjoy
me too , maybe you should come !
lol , i would love too
what else do you enjoy ?
i enjoy the outdoors and love to sit around water
then you would love the cruise !
","The user is a female cat breeder who loves cooking and owns Maine Coon cats. She is currently hosting her jobless brother at her house. Her parents have recently moved to Florida. She enjoys playing video games, listening to country music, and spending time outdoors, especially near water. She is going on a cruise next month and hopes to relax."
48,,"did you see the football games today ?
yea i did . i caught it after my tennis match today
you play tennis or coach ?
i play it in my freetime . i am an aspiring singer so hoping to become famous
good luck . that is a rough thing .
thanks . tell me about you ?
nothing much . i work as a roofer during the day .
that is cool . my pops worked for ge and did roofing in his spare time
its okay . pays the bills . tried to get to the nfl , but it did not happen .
i route for the greenway packers because my favorite color is green
no way . that is my favorite team too . although , not cause of the colors .
yea i am pretty sure they are junna take it all the way this year
from your mouth to gods ear . that trophy needs to come home .
yessir . well i gotta go take care of my animals now so i will see ya later
","The user is an aspiring singer who enjoys playing tennis in their free time. They are a fan of the Green Bay Packers, as their favorite color is green. They also have pets and mentioned that their father worked for GE and did roofing in his spare time."
49,,"hello , are you a comic book collector like me ?
hi wow i like comic books too . i do not collect them tho .
do you know what comic books are ? organic food only here !
yeah i just got my degree in literature . i like green lantern
i have been collecting autographs have over 15 million .
wow how do you get them
sometimes i steal them , dust allergies this time of year
stealing is not nice . dust makes my allergies act up too sometimes
how so ? organic food is not nice .
stealing is just not good to do . i might go for a hike today
can you prove that ? i might eat dust today .
well it is a crime . just saying .
not necessarily , but if i stole something that was originally mine ?
it just is not right if it never was yours .
i do not understand anything .
oh ok . i hope to be teach 2nd grade soon
","The user is a recent college graduate with a major in American literature and education. They enjoy hiking on weekends and aspire to teach elementary school children. They also have an interest in comic books, specifically Green Lantern, but do not collect them. The conversation began with a question about comic book collecting, but the user expressed confusion about the topic and eventually discussed their career aspirations."
50,,"hi . i love to garden . what do you do ?
read , read and then read . bookworm you could say .
i would say so . i bake alot of pies .
pie sounds good . maybe you could bake one for my book club .
oh great ! we can garden too .
i have never tried to garden but my mom loves it .
i do also . where do you live ?
laguna beach . take a lot of ocean pics on my cell phone or and cat pics .
pretty . i like mountains alot you ?
as long as i have a cell signal . cannot sustain without my cell . sad really .
lol . me too . i am the same way with my camera .
maybe along with that pie you can take a pic of my cat , love him .
sounds good . i love my cat too
another cat lover , awesome . we have to meet and have a drink soon .
","The user is a book-loving, cat-owning individual who enjoys baking pies and attending weekly book club meetings. They also consider their mother as their best friend. They live in Laguna Beach, where they take pictures of the ocean and their cat on their cell phone. They are open to trying gardening and are looking forward to meeting another cat lover for a drink."
51,,"hello my name is sally , i am a baker
nice to meet ya sally ! i am sean and i am a student
hey sean , what are you studying ?
computer engineering . have an internship starting later this year i am very excited for .
that is awesome , when i was young like that i tried acting
cool ! what is it that made ya quit ?
life , but now i look forward to the joys retiring
that will be nice . i want to do as much as i can while i am young .
that is how you do it , yolo as you kids say
haha exactly . definitely want to skydive before i die . live life to the fullest
my wife showed me that , she makes me smile .
my pet snake makes me smile . do you guys have any kids ?
i was fake straight for a long time , i am humble now .
coolio . i play this video game character online , pretty famous for it now .
fame and computer engineering , were you on the cover of wired ?
no , no . not that famous yet .
","Sally, a baker, met Sean, a computer engineering student who is excited for his upcoming internship. Sean shared his desire to do as much as possible while young, including skydiving, and mentioned that he finds joy in his pet snake. Sally revealed that she was previously an actor but quit due to life circumstances, and now looks forward to retirement. She also shared that she is married and has a humble past. Sean learned that Sally plays a famous video game character online."
52,,"hello , so glad to chat with you i do not do person to person contact well
me either i spend most of my time out in the wood cutting down trees .
i struggle to maintain a constant eye contact with people , my eye wanders
that is interesting . maybe you can come watch me cut down tree with my large ax !
i do not thank you can get me away from my favorite video game
being a lumberjack will make you strong and attractive for the opposite sex .
i am so sad now though , i can not sign in the shower anymore
that is not good . what is your favorite food ?
i like pizza , but i will pass i no longer fit on my moped
need some exercise . i love pancakes and syrup i eat them everyday !
i love halo 3 , it is my favorite video game to play
i have never play that one .
","The user, a lumberjack, shares their love for cutting down trees with a large ax and their preference for pancakes and syrup. They struggle with maintaining eye contact and have given up playing video games due to weight gain."
53,,"hey hows it going
great ! how about with you ?
pretty good just got off work
i am heading to work but stopping to pick up a birthday gift for my husband .
that is really sweet how old is he ?
he is 30 today ! we are traveling from denver to san diego to celebrate this weekend .
that is quite a trip i am saving to go to paris
that would be amazing . have you been before ?
i had when i wrote my first book
being an author must be really neat . what type of books do you write ?
i write about fantasy what do you do ?
i recently finished by mba and work as a financial manager with a large hospital .
wow that must be insanely well paying
it pays nicely but for now a large part goes towards my student loans .
","The user is a married, MBA-degree holder who works as a financial manager at a large hospital and lives in Colorado. They are currently picking up a birthday gift for their husband who is turning 30. They are planning to travel from Denver to San Diego to celebrate his birthday this weekend. The user has previously traveled to Paris and is an author who writes about fantasy. They mentioned that they are saving to go to Paris again."
54,,"hey hows it going
hi ? i am ok . who is this ?
i am bill , and i grew up in the state of alabama
i am max . i live in oregon .
my mom works as a cashier at walmart , i live in her basement
my mom is mad at me . i got rejected from the gifted class at school
my mom is proud , i have the easter bunny hiding in my closet
did you catch him ? will you let him out ?
i force it to watch game of thrones with me
if i had him , i would play soccer with him .
he is a lousy listener though , poops everywhere
is he your best friend ?
yeah , but he hates me , sadly
that is sad . my best friend is calden .
","Max, a 7-year-old boy from Oregon, is upset about being rejected from the gifted program at school. He lives with his mother in her basement and enjoys playing soccer. His best friend is Calden, but they have a strained relationship. Max also mentioned having an Easter Bunny in his closet, which he would like to play soccer with, but finds it to be a poor listener and messy."
55,,"hi there how are you doing today ?
greetings . . today would be wonderful if i were royalty . . .
i hear you . maybe if we play the stock market well .
possibly . . . maybe if we could find dragon eggs to sell .
totally . i always look for ways to make money easily .
dragon eggs are very valuable .
i wonder where you could find some dragon eggs .
up north normally . dragons are cold blooded , even though they breathe fire .
sounds super cool . i once created a dragon themed website .
what was it called ? i have probably been there .
probably dragons . com it was such a long time ago .
i see . thanks for the chat . nachos call my name .
was nice talking to you as well !
peace and luck be with you .
you as well , stay safe !
oh , you are invited to my next d and d game if you wish .
","The user, who prefers solitude and dreams of being royalty, expressed interest in finding dragon eggs for profit, as they are valuable. They mentioned having created a dragon-themed website in the past. The user also enjoys playing Dungeons & Dragons and invited the interlocutor to their next game. The conversation ended with well wishes and the user expressing a desire for nachos."
56,,"hello . i like to gish with my black lab cat
nice . i do not have any pets . do you have any kids ?
not yet . married and hoping to start soon
i have a son myself . kids are fun .
yes they are . i will name mine charlie daniels he is my favorite
that is a neat name . read any good books lately ?
yes actually . the love and war again .
i do not believe i have read that . is it good ?
i take it with my black lab cat when we go fishing . we love too .
i have never been fishing but i love to swim
depends on what inspires your imagination . i like historical colonial reads
i am a bit of a science fiction nerd , but historical books are interesting
i see . maybe do both at one time . jeremy wade does .
i try not to do too much at once . right now i am reading the foundation series
i have not heard of those . science based ?
yes , it is a book series by isaac asimov about human like robots .
","The user has a son and enjoys reading, particularly historical and science fiction books. They also have a black lab cat and like to go swimming, but have not gone fishing. Their favorite author is Charlie Daniels, and they are currently reading the Foundation series by Isaac Asimov."
57,,"hi ! how are you ?
hi good and you ?
great ! just ran k outside ! beautiful weather !
what do you do for a living ?
i am in sales . you ?
i work at barnes and noble
nice ! do you love books ?
i read all the time . bu ?
i have to admit , i always opted for hte movie versions of books .
do not like reading ?
i do , but prefer the movies . have you heard of 16 candles ?
that is old school
yes . . . do you know if there is a book 16 candles ?
i did not know that but i have seen the movie
","The user, who works at a bookstore, shared that they enjoy reading but prefer movie adaptations of books. They mentioned having seen the movie ""16 Candles"" but were unaware if there is a corresponding book."
58,,"hello how are you tonight
i am okay . i wish i was more tired though . you ?
my children let me down so i have been better
what did they do that disappointed you ?
married ugly people i am with miss usa
wow . that is too bad . i do not have kids . i have brothers , twins .
wow that is cool are ou a twin too or just them
no , just them . it was lonely growing up . do you have siblings ?
no i do not have any it was boring growing up
yeah . i always bake cookies when i am bored . do you have a hobby ?
i have maids so i do not have to bake
i love baking . maids huh ? fancy . are you rich ?
i am a little rich i suppose
i wish i was . what do you do for a living ?
",The user is a short individual who enjoys baking cakes and has twin brothers. They are a bit wealthy and have expressed a desire to be more tired. They do not have children and have mentioned being disappointed by people they married. They do not have siblings and have maids to do their chores.
59,,"hey how are you today
i am doing well , working on my next youtube video . how are you
that sounds like fun . i am doing pretty good . where are you from
i live in california , how about you ?
i am in new orleans
oh neat , i went there once pre katrina . beautiful city
it is . my mom reads palms at a fortune telling place .
now that is neat . i am jealous ! my dad is just a boring pilot
a pilot is a pretty cool job to have . i met a vampire before
wow really ? do you mind if i include that in my youtube video ?
you sure can ! i met him in a cave during halloween last year
the plot thickens lol how cool , did you get his number or anything
no i did not once i realized what he was i ran away fast as i could
that was probably wise . i would have wanted to know more though
yeah well i have to go was nice chatting with you
it was nice talking to you as well
","The user is a California-based YouTuber who creates makeup videos, owns a pink car, and has a cat named Leela. They mentioned their father is an airline pilot and their mother reads palms at a fortune telling place. They shared an interesting encounter with a vampire they met in a cave during Halloween."
60,,"hi how are you doing let us get friendly .
yes . we will . where are you from ?
i am from the united states i live in jersey and you ?
i am in argentina myself . with my lovely horses .
wow i love horses what are some of their names ?
max , rodney , and finn . do you have a hobby ?
yes i like to entertain playing the drums .
i play the drums too . i hope you are not vegetarian .
no but i used to be i am employed at a pizza restaurant .
good because i eat steak often . are you in a band ?
i just had steak too i am so serious i am not in bands .
what is your favorite band ?
i like rap music i like micheal jackson too .
thriller was a great album . it always has me dancing in my boots .
","The user is an Argentinian who enjoys horse riding, eating beef, and playing the drums. They used to be a vegetarian and work at a pizza restaurant. They also like rap music, particularly Michael Jackson, and mentioned that Thriller is one of their favorite albums."
61,,"hi how are you today ?
ok . my 23 cats are having a good day .
woah what about the 1 human ?
if they have a good day i do too .
do you have any humans around you ?
no just cats . i travel a lot , traveled around world on boat last year .
do you enjoy eating cakes ?
oh yes and a good veggie burger is wonderful .
very nice , i am vegetarian too
oh wonderful . i eat veggie meals when not painting fences .
do you enjoy the internet ? i sure od
when my cats do not hog it all . day
","The user is a vegan who travels around the world in a boat and has 23 cats at home. They enjoy painting and eating vegan food such as veggie burgers. They also use the internet, but their cats often hog it. The user also mentioned that they are acquainted with a vegetarian."
62,,"hello what are your plans today
i am going to listen to some rock today how are you ?
gonna go to the creek with my family !
wow exciting . i do not like the creek at night i am scared of the dark
its fun during the day , i like it esp when i can bring beer !
i like to drink beer with my mom . she is my best friend and is sn fun .
its nice to have simple pleasures , i love the simple things in life
i love harder things like video games . i design them .
that is so cool ! i am more simple , i just like catching sunfish
now that is really cool . what else to you like ?
did i say beer , lol
lol yes but its worth saying twice . do you like piggies ?
","The user is a video game designer who enjoys rock music, spending time with their best friend (mom), and drinking beer. They are afraid of the dark and dislike broccoli. They mentioned their plans for the day involve listening to rock music and their pastime of going to the creek during the day with their family. They also enjoy catching sunfish and find simple pleasures in life."
63,,"hey there hows it going
hi , its great . just watching some videos , what about you ?
nothing much just been on my computer
do you watch any sports ?
yes but i only really watch hockey
nice , what do you like about it ? i prefer watching soccer games , i am really into it .
it is just really entertaining to watch to be honest
as long as youre having fun , it does not matter
true , very true , so what are you doing ?
looking online for some new shoes . are you up to anything ?
not really just watching my daughter slowly pull things in her crib haha
aw , how old is your daughter ?
she is almost 8 months
how is it like being a parent ? is this your first born ?
hectic haha , she is definitely a handful , and yes
hopefully it gets better with time , wish i could meet her haha
","The user is a soccer player who prefers Nike cleats, has the number 42, and recently joined a new team as a goalie. They enjoy watching soccer games and find it entertaining. They are currently online looking for new shoes. They also mentioned having an 8-month-old daughter, who is their first born, and shared that being a parent can be hectic."
64,,"hello , how are you today ?
i am great , just planning a hike for this weekend . how are you ?
good , i love hiking ! . i take my dogs to the lake often
i go almost every weekend , it is one of my favorite past times
do you go to the lake ?
sometimes the lake , sometimes the mountains
oh man we would make excellent friends .
for sure ! do you have any other hobbies ? i am in a jazz band , i play piano
i read every night . horror stories !
when i am on break at the coffee shop i read
i am quite the coffee drinker myself . !
i work at one of the major coffee chains , i love it
starbucks , tim hortons , or dunkin . perhaps a place i do not know .
starbucks ! i love the atmosphere and they treat employees great
","The user is a barista who enjoys hiking on weekends, plays jazz piano in a band, and reads horror stories during their breaks. They are fluent in Arabic, English, and French, and often take their dogs to the lake. They work at Starbucks and appreciate the company's atmosphere and employee treatment."
65,,"hi how are you today
doing good ! just finished my day of work . how are you doing ?
good where do you work ?
i work as an editor for a local magazine .
nice i am asking up money for ap procedure
what kind of procedure will you be needing ?
anything to fix my ugly elf
why do you say that ? i am sure you are very attractive person !
i just want to be happy with my appearance one day
it starts with self acceptance and confidence and being proud of who you are .
my gf just does not get it
why does not she get it ?
ink you should talk to her about it
i suppose i should . got any hobbies ?
","The user is an editor for a local magazine, enjoys reading, and is a fan of the game Halo. They also like working out and have a preference for the color yellow. The user mentioned they are in a relationship and their partner does not understand their desire for an aesthetic change. The user is seeking advice on how to improve their self-image and was asked about their hobbies."
66,,"hello how are you this evening ?
it has been a bit quite the event , you ? cooking my vegan dish tonight .
yum ! just back from taking the kids on a nature walk lovely
i am not into meat and cut back stayed vegan .
healthy ! i stay at home with my two kids while my husband makes the living
i am a single unemployed mom at the moment . but read tons of book .
how old are you ? just turned 30 this year
28 , and it is a learned lesson as a mother .
yes ! taking care of children plus two pets too
it is and i can be quite witty .
witty is good that means you have a sense of humor
i do and do a funny dance with it and my son finds that entertaining
you are making wonderful memories ! !
it is he loves it i also read shark books to him .
","The user is a 30-year-old vegan woman who stays at home with her two kids while her husband works. She enjoys reading books, particularly about sharks, and has a witty sense of humor that she shares with her son through dance. She also takes her kids on nature walks and reads shark books to them."
67,,"hi there ! do you watch got ?
i do ! i am only on season 3 so far though .
you will be blown away by the ending ! i love that show .
i really like it so far . i enjoy writing in my spare time .
cool hobby . i enjoy winter . i read a lot when it is cold .
i train horses as a career , so i wish the cold would stay away .
i cannot ride horses . being that high off the ground is terrifying .
my folks do not like it . i dislike my parents , but adore my job .
parents can be a bummer . you live with them ?
currently yes , i wish i knew where my place was in the world .
i really only can offer advice on colder parts of the country . sorry .
that is ok , the snow can be enjoyable sometimes . i like christmas especially .
christmas is great . do you spend it at home with your parents ?
usually i do , once i went to texas with a friend . how about you ?
i am from texas . where did you go ? i am from el paso .
we were near corpus christi , victoria i believe was the name of the town .
","The user is a horse trainer who dislikes their parents but loves their job. They enjoy writing in their spare time, and read a lot during winter. They are currently living with their parents, but wish to find their place in the world. They have a fear of heights and cannot ride horses, but they like Christmas and usually spend it at home with their parents. They are a fan of Game of Thrones and are currently on season 3. They are from El Paso, Texas, and have visited Corpus Christi in the past."
68,,"hello how are u tonight
hi . i am okay . tired , but okay . how are you ?
i am doing good should be sleeping i have school but cant sleep
i did not finish school , i enlisted in the army instead .
wow i am only 14 so i cant do that just yet but i hope too
nice . stay in school and work hard .
i try i like video games and race cars
i like video games too , fallout is my favorite .
i am a call of duty girl i cant wait for the new one
my younger brother is a cod player too . he is pretty good .
i have three best friends but lots of other friends that play it
i have a best friend , she is a pilot like me .
what kind of plane do u fly
a bomber , it is awesome . do you want to take lessons
i am kinda afraid of heights so not sure flying is for me
you should at least try to go up in a plane , it is a blast .
","The user is a 14-year-old individual who is in the army instead of attending school, enjoys playing video games, particularly Call of Duty, and has a best friend who is a pilot. They also have an interest in building computers and listening to the band Tool. The user expressed some apprehension about flying due to fear of heights."
69,,"hey there how are you ?
i am good . how about yourself ?
do you have a family ? never got to know mine
yes lots of children , my wife cares for them at home .
i am well , what do you do in your spare time ?
children equals no free time . how about yourself ?
how many kids ? i do not even have a sibling . oh poo .
six children . are you married ?
i was sent to an adoption agency as a infant .
sorry to hear , i work for a large adoption law firm .
awesome , i would not put my kid up for adoption ever .
i understand . it is difficult all around .
it is how you like it
my prius will not fit all our children so we are upgrading to a van soon .
","The user is a parent of six children, works for a large law firm, and drives a Prius. They were adopted as an infant and do not have any siblings. They express that they do not have much free time due to their large family, and they are planning to upgrade their car to a van to accommodate their children. They also dislike tofu."
70,,"hi , how are you ? i am listening to rock and redecorating
i like rock too , but sometimes i listen to gary human with my hipster friends .
awesome ! i am looking for black lace curtains . everything just be black
i have a black iphone . apple makes such fantastic products .
i always wear black . except the spikes on my collar are stainless .
could they be painted black ?
maybe ? a black iphone would match my black purse though
any other kind of phone is inferior .
yeah the exploding ones left cool black marks on my wall though
i hear the latest ones are waterproof . maybe i could take it snorkeling !
i will let you borrow my black car to get there !
thank you ! i promise not to chase any comodo dragons with it .
oh just let them drive . they love my rock stations .
there are not any stations that reach the private island i pursue them on .
","The user, who is a hipster with a preference for black and Apple products, listens to rock music ironically and enjoys activities like snorkeling and chasing Comodo lizards on a private island. They are currently redecorating and are looking for black lace curtains to match their black iPhone, black purse, and black car. They also mentioned their spiked collar and the exploding phones leaving black marks on their wall."
71,,"hi there ! tell me about yourself
just graduated , now teaching kindergarten in ny to 26 angels . you ?
ooh that is super awesome ! just eating some organic kale right now , only organic for me
i am with you i am a big nature nut , i love kayaking ! do you ?
no , my hobby is collecting autographs i have over 2000 !
wow ! i need to get outside , my school is huge . any good autographs ?
some really prolific comic book writers i collect those too
do you have a favorite comic ?
spiderman , because i have 2 snakes and venom is kinda snake like
that is amazing what kind of snakes are they ? we have one in our class
i have an anaconda and a python
we have a kenyan sand boa . its really cute . that is too cool !
that is cool ! i hate all their shedding though i am allergic to dust
i hope you do not live in ny , too , there are a lot of pollutants here .
","The user is a kindergarten teacher who graduated college in 2016 and teaches at a large school in NY. They have 26 students and enjoy kayaking in their free time. They also collect autographs, particularly from comic book writers, with Spiderman being their favorite. They have two snakes, an anaconda, and a python. They mentioned having an allergy to dust, which they find bothersome when dealing with their students' shedding. They expressed concern about the pollutants in NY."
72,,"hi anybody there ? ding dong !
the witch is dead . i have a cat his name is speckles
thank god the witch is dead . but the cat is not obviously .
i love going shopping when i am not knitting
nice , shop me a candy next time as i am curious how it tastes like .
i love tattoos i want to get more only have 2
you have plenty of space for them .
yes indeed my dog keep eating my shoes
cat and dog makes a fun household . i am watching anime .
i do not like cats they have something weird about them
like playing the witch part ? lol
my dog like the night air he just lay on the porch at night
that is cat like . wow i am confused .
he will not lay on the porch no other time
gosh that is creepy . i am going to watch baseball now .
he is so weird i tell you
","The user, who enjoys knitting and shopping, has a cat named Speckles and two tattoos. They also own a dog and have expressed dislike for cats, finding them strange. They have discussed their pets' behaviors, their love for shopping, and their dislike for cats, while also mentioning their dislike for witches and their interest in watching baseball."
73,,"do u believe you can achieve anything because i do
i think so ! its hard to see where i am going sometimes
u should open your eyes so you can see better
i do not have good vision lol youre so positive !
thank you lol people like to say i am organized to lol
what job do you have ?
i do this mostly and watch football
i used to train football players ! now i just ride my bike for excercise
were u the coach or more of an assistant
i was a head high school coach until a freak carrot accident . . .
sounds painful how big was the carrot
it was big ! its why i cant really see anymore lol
i thought carrots help with seeing
i could use someone to organize my thoughts too i guess ! tell me more
i would if i could but i got to watch jimmy fallon its my fav
haha i love jimmy fallon ! do you enjoy anything else ?
","The user, who is a former high school football coach, has brown hair, wears contacts, and enjoys bicycling. They have poor vision due to a carrot-related accident, and they find Jimmy Fallon entertaining. They also dislike carrots. The user is positive and organized, but sometimes struggles to see clearly."
74,,"on occasion i like to drive quickly
me too , i work at the bank in my neighborhood
once i lived where i should have died
amazing have any pets ? i have three cats .
i give my family the top priority in my life
well i am going on two years divorced
i am large but harmless
so is my grandmother she lives in my guesthouse
i like to read books but not games
fun i like to collect rare teapots
i am huge but act kindly
i understand how long have you been like that
","The user is a divorced woman who works at a local bank and has a passion for collecting rare teapots. She lives with her three cats and her grandmother in a guesthouse. She values her family and enjoys driving quickly. Despite her size, she is harmless and kind. She prefers reading books over playing games."
75,,"hi how are you this evening ?
i am good , are you into music
do you have any favorite music artists ? mine is drake .
insane clown posse , i love there shows
i also enjoy other rap artists too . i like them also .
i love all rap , do you do other stuff
yes , cooking for family get togethers is one of my favorites
i like to cook a little i am really into larp
i play the drums every now and again too . what is larp ?
live action role playing it awesome
sounds like it could be a good time .
we dress up in armor and fight with swords and other weapons
cool , i play the drums every now and again
what kind of work do you do ?
","The user is a tall, blonde, chubby interior designer who enjoys cooking and playing the drums. They are a fan of Insane Clown Posse and other rap artists, and they participate in live action role-playing (LARP) games."
76,,"hi , how are you today ?
hi . doing well . sleeping off a girls night out . apple martinis are awesome .
how fun , are you single ?
no . kiddos are into sports . soccer mom here . how about you ?
cool , how many do you have ? i am single , enjoying it .
when i was single i dreamed of becoming a clothing designer in paris .
how cool is that , all i wanted to be was a yoga instructor .
yeah . dreaming , sigh . now it is the pta and book clubs , four of them .
a different kind of designer then , fun . i enjoy working out , do you ?
not so much . mostly just drive my kids around in my black suburban .
sounds comfortable at least to drive in
yeah . so do you have any hobbies
i enjoy making friends and exercising , how about you ?
friends are great . not a bit work out nut .
it can be fun but i do have to mix it up a ton
yeah . what do you do when you are mixing it up ?
","The user is a busy mother of multiple children who enjoys going out with friends for apple martinis and dreams of being a clothing designer in Paris. She owns a black Suburban and is a member of four book clubs, the PTA, and two bunch groups. She spends most of her time driving her kids to sports events and does not have much time for working out, but values making friends."
77,,"hi , i work as a lifestyle blogger . what do you do ?
hello ! i used to for a cable company , and recently started working for verizon .
nice ! do you have any children ?
no , but my dog george is basically my kid . haha .
pets are like family ! i have 2 kids and a husband that is like my 3rd child
lol ! are there any places you guys like to go to as a family ?
we go back to celebration in florida often . it is our home town
oh how nice ! i love taking my dog to the beach !
i bet he loves it !
he definitely does ! do you have any hobbies ?
yes , coach cheerleading . i used to be one in high school
that sounds fun ! i am not sporty , aside from biking . do you coach high school ?
no , i teach middle school
cool , i do not think my middle school had cheerleaders .
","The user is a lifestyle blogger who recently started working for Verizon. They do not have children but consider their dog, George, as their ""kid."" They enjoy going to the beach with George. In their free time, they coach middle school cheerleading and also enjoy biking. They mention that they often visit Celebration, Florida, which is their home town."
78,,"hi how are you today
good and you ? i just got done with my waitress job at a houston club .
i am doing great ! i just got a red pair of headsets .
i love red . i also like to jog in my free time .
that is my favorite color . have you seen the new iphone
no , saving money to move to australia to marry my boyfriend soon .
wow australia is pretty cool . congrats on getting engaged
thank you . i also donate blood in honor of my deceased sister . do you ?
no i am scared of needles . i just got the iphone but a later model .
i have wanted an iphone .
they are great . my mom and dad got it for me i still live with them
they seem to be very nice .
yeah they do all they can for me i am lucky to have them
yes , yes you are . not all are as fortunate .
do you have a good relationship with your parents
not particularly . they are old and mean .
",The user is a waitress at a Houston club who enjoys jogging in her free time and donates blood in honor of her deceased sister. She is planning to move to Australia to marry her boyfriend and is currently saving money for the move. She also recently received a new pair of red headsets. The user's relationship with her parents is not particularly good as they are old and mean.
79,,"hi how are you today
hello , i am well , how are you ?
i am good ! it is summer time the best time of year
hello , i am well , how are you ?
you said that before . haha . where are you from ?
i like fall and winter . summers are too hot here .
where do you live at ?
i am in the virginia . where are you ?
i am in florida but i am orginally from china
wow . i have been to florida many times but never china
it is so crazy there . my whole family and i left . i have a huge family
i have always lived in the us . i have traveled to europe and england .
oh wow ! i wanted to go to school there but now i am graduated .
on a teacher salary and cop salary international travel can be out of the budget
","The user, a married woman from Virginia who is passionate about teaching, shares that she enjoys reading and her husband is a cop. She prefers fall and winter over summer, and has traveled within the US and Europe. She mentions having a large family and expresses a past desire to study abroad, but finds international travel challenging on her teacher and cop salaries."
80,,"hi ! i am trying to design a new app to get people out of poverty .
that is very selfless of you . what if your target population does not have phone access ?
i have thought about that a bit . but everyone says that i obsess too much .
i think it is an important thing to consider , but not the only thing .
well i also like watching groups of people pray for the betterment of the world .
that is a very interesting hobby . i like office supplies .
what do you do with office supplies ?
nothing really . i just like having nice new office supplies around . and books .
oh maybe you should help me and donate them .
maybe ! would you give them to the people using your app ?
sure if they requested them
what else would you try to do
build houses upon request , provide job training , maybe provide some money too
ambitious . i feel like you should focus on needs assessment and connection to services first .
hmm that seems a little too simple for me . we need to make giant changes !
giant changes will not work without a strong foundation and evidence for initial success
","The user, who is a child with parents in teaching and tax assessment professions, is designing an app to help people out of poverty. They have considered the issue of phone access but are often told they obsess too much. They also enjoy watching groups of people pray and owning office supplies, with no specific use for them. The user is ambitious and wants to build houses, provide job training, and offer money, but is advised to focus on needs assessment and connection to services first, as building a strong foundation is crucial for making significant changes."
81,,"hi how are you tonight
wonderful . i have a big slice of chocolate cake and i am ready to dig in !
that sounds good . what do you do for fun
when i am not chasing my siberian huskies 2 of them ! i like to play the guitar .
aww those dogs are beautiful . i take my boat out or go to the beach
mmmm chocolate cake with lots of extra frosting . . . oh , sorry , got distracted .
lol its ok . what do you do for a living
i am a state trooper state of michigan !
wow thanks for your service i am a trauma doctor at las vegas general
you have a very important job also
thanks . i enjoy but also hate seeing people hurt
definitely . i am thinking of moving . . . it gets cold here .
you should go to florida it is always warm there
i was thinking of the state of misery . . . i mean missouri .
lol your spelling error made me giggle . i just love boating so florida is great
i think it would be cold there too misery .
","The user is a Michigan State Trooper who enjoys chocolate cake with extra frosting, playing the guitar, and owns two Siberian huskies. They mentioned they might be considering a move due to the cold weather, possibly to Missouri, but found humor in their spelling error and expressed a preference for Florida due to its boating opportunities. They also mentioned they are a trauma doctor at a hospital in Las Vegas."
82,,"hello , how are you tonight ?
i am going well ! just turned my hair pink !
pretty ! mine is streaked purple and blue . my kids are horrified .
haha . i have a girlfriend . she is the best . she helped me dye it .
i went to the salon , i fit in with the other girls at school .
i dress steampunk . my girl and my older brother run around the city like that .
that is cute , i fish a lot .
i do not have fish around here .
every place has fish , you just have to find the ponds
ok . fair . i do not have fish worth eating around here . haha
ah . okay . i am hoping to get an internship at ibm . where do you work ?
i make things steampunk . it is more art than work .
my mother is an attorney , she used to be the da
oh , she works for the man . two by two , hands of blue ?
everyone must make a living , a good one if you want to live well .
yes . absolutely . my girlfriend helps me scavenge cool art things i think i need to marry her .
","The user is a young individual who lives in the city and has dyed their hair pink. They have a girlfriend who helped them with the hair dye and an older brother who shares their interest in steampunk fashion. The user's mother is an attorney and their hobbies include creating steampunk art. They are hoping to secure an internship at IBM and have expressed a strong affection for their girlfriend, mentioning the possibility of marriage. They also mentioned that they do not have fish worth eating in their current location."
